RecordAttendance_ShouldPersistLogInDatabase	RecordAttendance_WithValidUser_ShouldPersistLogInDatabase	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\AttendanceServiceTests.cs
UpdatePriceListAsync_ShouldUpdateAllFields	UpdatePriceListAsync_WithValidData_ShouldUpdateAllFields	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
GetAllTestsAsync_ShouldReturnOrderedByNameReport	GetAllTestsAsync_WhenCalled_ShouldReturnOrderedByName	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
CreateUnitAsync_ShouldCreateUnit	CreateUnitAsync_WithValidData_ShouldCreateUnit	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
DeletePriceListItemAsync_ShouldRemoveItem	DeletePriceListItemAsync_WithExistingItem_ShouldRemoveItem	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
DeleteReferenceRangeAsync_ShouldRemoveRange	DeleteReferenceRangeAsync_WithExistingRange_ShouldRemoveRange	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
UpdatePriceListItemAsync_ShouldUpdatePrice	UpdatePriceListItemAsync_WithValidData_ShouldUpdatePrice	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
DeleteTestCommentAsync_ShouldRemoveComment	DeleteTestCommentAsync_WithExistingComment_ShouldRemoveComment	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
GetTestGroupsAsync_ShouldReturnOrderedGroups	GetTestGroupsAsync_WhenCalled_ShouldReturnOrderedGroups	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
GetSampleTypesAsync_ShouldReturnOrderedSampleTypes	GetSampleTypesAsync_WhenCalled_ShouldReturnOrderedSampleTypes	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
CreateSampleTypeAsync_ShouldCreateSampleType	CreateSampleTypeAsync_WithValidData_ShouldCreateSampleType	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\TestCatalogServiceTests_Additional.cs
GetUserActivityLog_ShouldRespectCountLimit	GetUserActivityLog_WithCountLimit_ShouldRespectLimit	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\UserActivityServiceTests.cs
DeleteUser_ShouldRemoveUserAndUserRoles	DeleteUser_WithExistingUser_ShouldRemoveUserAndUserRoles	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\UserAdminServiceTests.cs
GetUsers_ShouldReturnUsersOrderedByUsername	GetUsers_WhenCalled_ShouldReturnUsersOrderedByUsername	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\UserAdminServiceTests.cs
GetRoles_ShouldReturnRolesOrderedByName	GetRoles_WhenCalled_ShouldReturnRolesOrderedByName	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\UserAdminServiceTests.cs
DeleteRole_ShouldRemoveRoleAndPermissions	DeleteRole_WithExistingRole_ShouldRemoveRoleAndPermissions	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\Services\UserAdminServiceTests.cs
TogglePasswordVisibilityCommand_ShouldToggleIsPasswordVisible	TogglePasswordVisibilityCommand_WhenInvoked_ShouldToggleIsPasswordVisible	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\LoginViewModelTests.cs
ReloadCommand_ShouldLoadUsersAndRoles	ReloadCommand_WhenInvoked_ShouldLoadUsersAndRoles	C:\Users\LAP LINK\source\repos\Open_lab\Open_lab.Tests\ViewModels\UsersPermissionsViewModelTests.cs
